tipo,municipios,distancia_total_km,custo_combustivel,custo_pedagio,custo_alimentacao,custo_estadia,custo_total
Final de Semana (Pernoite),"['Santópolis do Aguapeí', 'Clementina', 'Coroados', 'Braúna', 'Glicério', 'Arco-Íris']",1186.4011591652356,382.28481795324257,177.96017387478534,200,200,960.2449918280279
Final de Semana (Pernoite),"['Icém', 'Monte Aprazível', 'Mirassolândia', 'Nova Granada']",1191.6068074740945,383.96219351943046,178.74102112111416,200,200,962.7032146405446
Final de Semana (Pernoite),"['Planalto', 'Nipoã', 'Bálsamo', 'Neves Paulista', 'Barbosa']",1170.2949948821943,377.0950539064848,175.54424923232912,200,200,952.639303138814
Final de Semana (Pernoite),"['Quatá', 'Tupã', 'Luiziânia', 'Borá']",1161.9568592642963,374.4083213184955,174.29352888964445,200,200,948.70185020814
Final de Semana (Pernoite),"['Cruzália', 'Pedrinhas Paulista', 'Maracaí', 'Paraguaçu Paulista', 'Florínia', 'Tarumã', 'Assis']",1187.196926715364,382.5412319416173,178.0795390073046,200,200,960.6207709489219
Final de Semana (Pernoite),"['Colômbia', 'Ipiguá', 'Altair']",1175.556313067134,378.79036754385425,176.3334469600701,200,200,955.1238145039243
Final de Semana (Pernoite),"['Onda Verde', 'Mirassol', 'Jaci', 'José Bonifácio']",1161.3874968442801,374.2248600942681,174.20812452664202,200,200,948.4329846209101
Final de Semana (Pernoite),"['Penápolis', 'Alto Alegre', 'Herculândia', 'Queiroz', 'Avanhandava']",1183.138361675807,381.23347209553776,177.47075425137103,200,200,958.7042263469089
Final de Semana (Pernoite),"['São José do Rio Preto', 'Guaraci', 'Ubarana', 'Bady Bassitt', 'Nova Aliança', 'Guapiaçu']",1188.9300952470592,383.0996973573857,178.33951428705888,200,200,961.4392116444446
Final de Semana (Pernoite),"['Quintana', 'Lutécia', 'Promissão', 'Oscar Bressane', 'Pompéia', 'Oriente']",1187.6076747363795,382.67358408172225,178.1411512104569,200,200,960.8147352921792
Final de Semana (Pernoite),"['Igarapava', 'Aramina', 'Miguelópolis', 'Guaíra', 'Rifaina', 'Buritizal']",1151.4595347943186,371.02585010039155,172.71893021914778,200,200,943.7447803195394
Final de Semana (Pernoite),"['Adolfo', 'Mendonça', 'Cedral', 'Potirendaba', 'Getulina']",1164.2810972848029,375.15724245843643,174.64216459272043,200,200,949.7994070511569
Final de Semana (Pernoite),"['Cândido Mota', 'Echaporã', 'Platina', 'Palmital', 'Marília', 'Ibirarema']",1181.5645752164737,380.7263631253081,177.23468628247105,200,200,957.9610494077792
